variant,basis_index,probability
baseline,0,0.1250000022251654
baseline,1,0.0
baseline,2,0.06249999888741729
baseline,3,0.06249999888741729
baseline,4,0.0
baseline,5,0.1250000022251654
baseline,6,0.06249999888741729
baseline,7,0.06249999888741729
baseline,8,0.06249999888741729
baseline,9,0.06249999888741729
baseline,10,0.1250000022251654
baseline,11,0.0
baseline,12,0.06249999888741729
baseline,13,0.06249999888741729
baseline,14,0.0
baseline,15,0.1250000022251654
intercept_resend,0,0.0625000011125827
intercept_resend,1,0.0625000011125827
intercept_resend,2,0.06249999888741729
intercept_resend,3,0.06249999888741729
intercept_resend,4,0.0625000011125827
intercept_resend,5,0.0625000011125827
intercept_resend,6,0.06249999888741729
intercept_resend,7,0.06249999888741729
intercept_resend,8,0.12499999777483457
intercept_resend,9,0.12499999777483457
intercept_resend,10,0.1250000022251654
intercept_resend,11,0.1250000022251654
intercept_resend,12,0.0
intercept_resend,13,0.0
intercept_resend,14,0.0
intercept_resend,15,0.0
advanced,0,0.12499999777483457
advanced,1,0.0
advanced,2,0.06249999888741729
advanced,3,0.06249999888741729
advanced,4,0.0
advanced,5,0.12499999777483457
advanced,6,0.06249999888741729
advanced,7,0.06249999888741729
advanced,8,0.0625000011125827
advanced,9,0.0625000011125827
advanced,10,0.1250000022251654
advanced,11,0.0
advanced,12,0.0625000011125827
advanced,13,0.0625000011125827
advanced,14,0.0
advanced,15,0.1250000022251654
